name,dosage,forme,presentation,price,remboursement,dci,type,prescription_required
RETAZID,"80 mg/12,5 mg",Comprimes pellicules,B/90,62.82,53.397,VALSARTAN / HYDROCHLOROTHIAZIDE,Antihypertenseurs,true
RETISOL A,"0,05%",Creme dermique,T/25 g,8.095,1.82,TRETINOINE,Anticancéreux,true
RHINOCORT,64 µg/dose,Suspension nasale,FL/120 doses,18.929,12.036,BUDESONIDE,Corticoïdes,true
RICARDYL,200 mg,Comprimes secables,B/20,6.405,4.369,AMIODARONE,Autres,true
RIFADIN,600 mg,Pdre p.prep.injectable,B/1 + 1/10 ml,19.024,16.17,RIFAMPICINE,Antibiotiques,true
RIFADINE,"2,00%",Sirop,FL/120 ml,26.555,22.572,RIFAMPICINE,Antibiotiques,true
RIFIXINE 200,200 mg,Comprimes pellicules,B/12,11.425,3.984,RIFAXIMINA,Antibiotiques,true
RIFIXINE 200,200 mg,Comprimes pellicules,B/40,33.22,13.28,RIFAXIMINA,Antibiotiques,true
RIFOCINE,"1,00%",Collyre,FL/10 ml,4.772,4.054,RIFAMYCINE,Antibiotiques,true
RIFOCINE,"1,00%",Pommade ophtalmique,T/5 g,3.885,3.302,RIFAMYCINE,Antibiotiques,true
RIFOCINE,250 mg,Solution injectable,B/1/3 ml,2.489,2.116,RIFAMYCINE,Antibiotiques,true
RILAMIG,"2,5 mg",Comprimes pellicules,B/2,17.435,14.416,FROVATRIPTAN,Analgésiques (antidouleurs),false
RILAMIG,"2,5 mg",Comprimes pellicules,B/6,50.88,43.248,FROVATRIPTAN,Analgésiques (antidouleurs),false
RINOCLENIL,100 µg/dose,Suspension nasale,FL/200 doses,12.142,10.2,BECLOMETASONE,Corticoïdes,true
RINOSAL,50 µg,Spray nasal,FL/120 doses,15.84,11.424,FLUTICASONE,Corticoïdes,false
RISDONE 2,2 mg,Comprimes pellicules,B/20,21.16,16.847,RISPERIDONE,Antipsychotiques,true
RISOMAX,"0,05%",Suspension nasale,FL/140 doses,16.625,12.852,MOMETASONE,Corticoïdes,true
RISONEL,35 mg,Comprimes pellicules,B/12,89.94,69.023,RISEDRONATE,Vitamines et compléments alimentaires,false
RISONEL,35 mg,Comprimes pellicules,B/4,35.14,23.008,RISEDRONATE,Vitamines et compléments alimentaires,false
RISPER ORO,2 mg,Comprimes orodispersibles,B/30,35.815,27.617,RISPERIDONE,Antipsychotiques,true
RISPER ORO,2 mg,Comprimes orodispersibles,B/60,64.98,55.233,RISPERIDONE,Antipsychotiques,true
RISPERDAL,2 mg,Comprimes pellicules secables,B/20,22.385,16.847,RISPERIDONE,Antipsychotiques,true
RISPERDAL,2 mg,Comprimes pellicules secables,B/60,67.87,50.541,RISPERIDONE,Antipsychotiques,true
RISPERDAL,2 mg,Comprimes secables,B/60,166.675,50.541,RISPERIDONE,Antipsychotiques,true
ROCGEL,"1,2 g",Suspension buvable,B/24 sachets,10.645,4.253,ALUMINIUM OXYDE,Antiacides,false
RODOGYL,"0,75 MUI/125 mg",Comprimes pellicules,B/20,8.265,3.808,METRONIDAZOLE+SPIRAMYCINE,Antibiotiques,true
ROLENIUM,250 µg/50 µg,Poudre pour inhalation buccale,B/60 blists + inhal,51.79,44.013,SALMETEROL+FLUTICASONE,Bronchodilatateurs,true
ROLENIUM,500 µg/50 µg,Poudre pour inhalation buccale,B/60 blists + inhal,68.9,58.548,SALMETEROL+FLUTICASONE,Bronchodilatateurs,true
ROMAC,100 mg,Comprimes,B/12,7.36,6.253,ROXITHROMYCINE,Antibiotiques,true
