name,dosage,forme,presentation,price,remboursement,dci,type,prescription_required
ABILICARE,10 mg,Comprimes,B/30,109.675,93.203,ARIPIPRAZOLE,Antipsychotiques,true
ABILICARE,15 mg,Comprimes,B/30,123.445,104.907,ARIPIPRAZOLE,Antipsychotiques,true
ABILIFY,10 mg,Comprimes,B/28,127.235,86.989,ARIPIPRAZOLE,Antipsychotiques,true
ABILIFY,15 mg,Comprimes,B/28,127.675,97.913,ARIPIPRAZOLE,Antipsychotiques,true
ABUFENE,400 mg,Comprimes,B/30,5.705,4.845,BETA-ALANINE,Vitamines et compléments alimentaires,false
ACARLYSE,50 mg,Comprimes,B/90,23.305,16.141,ACARBOSE,Antidiabétiques,true
ACETAZOLAMIDE,250 mg,Comprimes,B/30,10.79,2.652,ACETAZOLAMIDE,Anticonvulsivants,true
ACIRYL,150 mg,Gelules,B/30,33.96,28.5,PREGABALINE,Anticonvulsivants,true
ACIRYL,150 mg,Gelules,B/60,67.72,57.0,PREGABALINE,Anticonvulsivants,true
ACIRYL,75 mg,Gelules,B/15,15.485,13.455,PREGABALINE,Anticonvulsivants,true
ACIRYL,75 mg,Gelules,B/60,59.04,53.82,PREGABALINE,Anticonvulsivants,true
ACNETA 10,10 mg,Gelules,B/10,6.755,2.408,ISOTRETINOINE,Anticancéreux,true
ACNETA 10,10 mg,Gelules,B/30,18.085,7.224,ISOTRETINOINE,Anticancéreux,true
ACNETA 20,20 mg,Gelules,B/10,10.65,4.26,ISOTRETINOINE,Anticancéreux,true
ACNETA 20,20 mg,Gelules,B/30,32.24,12.78,ISOTRETINOINE,Anticancéreux,true
ACNETA 40,40 mg,Gelules,B/10,18.07,7.044,ISOTRETINOINE,Anticancéreux,true
ACNETA 40,40 mg,Gelules,B/30,52.85,21.132,ISOTRETINOINE,Anticancéreux,true
ACNETA 5,5 mg,Gelules,B/10,4.72,1.58,ISOTRETINOINE,Anticancéreux,true
ACNETA 5,5 mg,Gelules,B/30,11.87,4.74,ISOTRETINOINE,Anticancéreux,true
ACTAFON,160 mg,Comprimes orodispersibles,B/12,6.895,2.318,PHLOROGLUCINOL,Antispasmodiques,false
ACTAFON,80 mg,Comprimes orodispersibles,B/20,5.48,1.968,PHLOROGLUCINOL,Antispasmodiques,false
ACTALGINE,500 mg,Comprimes,B/18,2.6,1.928,ACIDE ACETYLSALICYLIQUE,Antiplaquettaires,true
ACTALGINE,500 mg,Comprimes,B/20,2.52,2.142,ACIDE ACETYLSALICYLIQUE,Antiplaquettaires,true
ACTALGINE PH 8,500 mg,Comprimes pellicules,B/20,1.7,1.445,ACIDE ACETYLSALICYLIQUE,Antiplaquettaires,true
ACTAPULGITE,3 g,Poudre pour suspension orale,B/16 sachets,5.55,2.214,ATTAPULGITE DE MORMOIRON ACTIVEE,Antidiarrhéiques,false
ACTAPULGITE NOURRISSONS,1 g,Poudre pour suspension orale,B/20 sachets,3.75,1.496,ATTAPULGITE DE MORMOIRON ACTIVEE,Antidiarrhéiques,false
ACTIPP,20 mg,Gelules gastroresistantes,B/8,6.745,4.162,ESOMEPRAZOLE,Antiacides,false
ACTONEL,35 mg,Comprimes,B/4,63.899,23.008,RISEDRONATE,Vitamines et compléments alimentaires,false
ACTOPRIL,25 mg,Comprimes secables,B/60,13.19,8.466,CAPTOPRIL,Antihypertenseurs,true
ACTOZID,50 mg/25 mg,Comprimes secables,B/30,19.395,16.473,CAPTOPRIL+HYDROCHLORTHIAZIDE,Antihypertenseurs,true
ACTRAPID,100 UI/ml,Solution injectable,FL/10 ml,6.753,4.31,INSULINE HUMAINE,Antidiabétiques,true
ACTRAPID PENFILL,100 UI/ml,Suspension injectable,FL/5/3 ml,43.506,43.505,INSULINE HUMAINE,Antidiabétiques,true
ACUPAN,20 mg,Solution injectable,B/5/2 ml,6.042,5.134,NEFOPAM,Analgésiques (antidouleurs),true
ADALATE RETARD,20 mg,Comprimes à liberation prolongee,B/20,8.125,6.154,NIFEDIPINE,Antihypertenseurs,true
ADEX,"2,5 mg",Comprimes,B/30,7.44,4.794,INDAPAMIDE,Diurétiques,true
ADEX LP,"1,5 mg",Comprimes à liberation prolongee,B/30,7.44,4.59,INDAPAMIDE,Diurétiques,true
ADOL,1000 mg,Comprimes secables,B/8,3.11,1.986,PARACETAMOL,Analgésiques (antidouleurs),false
ADOL,500 mg,Comprimes,B/15,2.215,0.637,PARACETAMOL,Analgésiques (antidouleurs),false
ADOL EXTRA,500 mg/65 mg,Comprimes pellicules,B/20,3.775,2.227,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes,B/10,0.755,0.425,PARACETAMOL,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes,B/20,1.01,0.85,PARACETAMOL,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes effervescents,B/16,3.59,1.795,PARACETAMOL,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes effervescents,B/2 tubes/8,2.12,1.795,PARACETAMOL,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes effervescents,B/2x8,3.6,1.795,PARACETAMOL,Analgésiques (antidouleurs),false
ADONTAG,150 mg,Gelules,B/18,21.01,17.1,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,B/30,34.86,28.5,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,B/60,67.44,57.0,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,FL/14,16.395,13.3,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,FL/28,32.55,26.6,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,FL/56,63.185,53.2,PREGABALINE,Anticonvulsivants,true
ADONTAG,75 mg,Gelules,FL/14,14.1,12.558,PREGABALINE,Anticonvulsivants,true
ADONTAG,75 mg,Gelules,FL/30,30.73,26.91,PREGABALINE,Anticonvulsivants,true
ADYBREX,200 mg,Gelules,B/10,8.44,2.536,CELECOXIB,Anti-inflammatoires,false
ADYBREX,200 mg,Gelules,B/20,13.235,5.072,CELECOXIB,Anti-inflammatoires,false
ADYBREX,200 mg,Gelules,B/30,19.74,7.608,CELECOXIB,Anti-inflammatoires,false
AERIUS,"2,5 mg",Comprimes orodispersibles,B/30,9.15,7.777,DESLORATADINE,Antihistaminiques,false
AERIUS,5 mg,Comprimes orodispersibles,B/30,9.615,7.829,DESLORATADINE,Antihistaminiques,false
AERIUS,5 mg,Comprimes pellicules,B/15,10.67,4.118,DESLORATADINE,Antihistaminiques,false
AEROFOR,12 µg,Gelules,B/30 + inhal,19.08,13.592,FORMOTEROL,Bronchodilatateurs,true
AEROFOR,12 µg,Gelules,B/60 + inhal,35.195,27.183,FORMOTEROL,Bronchodilatateurs,true
AEROL,100 µg,Aerosol,FL/200 doses,7.37,4.93,SALBUTAMOL,Bronchodilatateurs,false
AERONIDE,200 µg,Poudre pour inhalation buccale,B/60 gélules + inhal,13.5,11.475,BUDESONIDE,Corticoïdes,true
AERONIDE,400 µg,Poudre pour inhalation buccale,B/60 gélules + inhal,22.84,19.38,BUDESONIDE,Corticoïdes,true
AFUCID,250 mg,Comprimes,B/10,16.715,13.54,ACIDE FUSIDIQUE,Antibiotiques,true
AFUSIDIC,250 mg,Comprimes pellicules,B/10,21.13,13.54,ACIDE FUSIDIQUE,Antibiotiques,true
AFUSIDIC,250 mg,Comprimes pellicules,B/20,35.67,27.081,ACIDE FUSIDIQUE,Antibiotiques,true
AFUSIDIC PLUS,"2,00%",Creme dermique,T/15 g,5.79,4.284,BETAMETHASONE + ACIDE FUSIDIQUE,Corticoïdes,false
AH-DEUX,20 mg,Comprimes pellicules,B/30,13.23,11.246,FAMOTIDINE,Antiacides,false
AKINETON LP,4 mg,Comprimes pellicules,B/30,14.775,12.559,BIPERIDENE,Autres,true
AKINETON LP,4 mg,Comprimes pellicules,B/50,24.873,20.995,BIPERIDENE,Autres,true
AKLONIL,2 mg,Comprimes secables,B/40,3.182,2.92,CLONAZEPAM,Anticonvulsivants,true
AKTONATE,35 mg,Comprimes pellicules,B/12,89.94,69.023,RISEDRONATE,Vitamines et compléments alimentaires,false
AKTONATE,35 mg,Comprimes pellicules,B/4,42.105,23.008,RISEDRONATE,Vitamines et compléments alimentaires,false
ALBIOMIN,"20,00%",Solution pour perfusion injectable,FL/50 ml,160.055,116.45,ALBUMINE HUMAINE PLASMATIQUE,Autres,true
ALBUNORM,"20,00%",Solution pour perfusion injectable,FL/50 ml,166.714,116.45,ALBUMINE HUMAINE PLASMATIQUE,Autres,true
ALBUTOL,2 mg,Comprimes,B/30,1.685,1.428,SALBUTAMOL,Bronchodilatateurs,false
ALDACTAZINE,25 mg,Comprimes secables,B/30,10.902,9.257,SPIRONOLACTONE+ALTIZIDE,Diurétiques,true
ALDACTONE,50 mg,Comprimes secables,B/30,24.02,11.424,SPIRONOLACTONE,Diurétiques,true
ALDACTONE,75 mg,Comprimes pellicules secables,B/30,16.559,14.051,SPIRONOLACTONE,Diurétiques,true
ALDALIX,20 mg,Gelules,B/30,10.286,8.721,SPIRONOLACTONE+FUROSEMIDE,Diurétiques,true
ALERGOSONE,"0,5 mg/ml",Gouttes buvables,FL/30 ml,5.41,4.386,BETAMETHASONE,Corticoïdes,true
ALERGOSONE,2 mg,Comprimes dispersibles secables,B/20,7.68,5.95,BETAMETHASONE,Corticoïdes,true
ALEZINE,5 mg,Comprimes orodispersibles,B/15,5.715,4.756,LEVOCETIRIZINE,Antihistaminiques,false
ALEZINE,5 mg,Comprimes orodispersibles,B/18,8.28,5.707,LEVOCETIRIZINE,Antihistaminiques,false
ALEZINE,5 mg,Comprimes orodispersibles,B/30,11.19,9.512,LEVOCETIRIZINE,Antihistaminiques,false
ALEZINE,5 mg,Comprimes orodispersibles,B/6,4.28,1.902,LEVOCETIRIZINE,Antihistaminiques,false
ALFACAPS,1 µg,Capsules molles,B/30,38.74,32.929,ALFACALCIDOL,Vitamines et compléments alimentaires,false
ALGESIC,500 mg,Comprimes secables,B/20,2.365,0.85,PARACETAMOL,Analgésiques (antidouleurs),false
ALGESIC EXTRA,500 mg/65 mg,Comprimes pellicules secables,B/16,3.205,1.782,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),false
ALGETRA,"37,5 mg/325 mg",Comprimes pellicules,B/20,4.49,3.808,TRAMADOL + PARACETAMOL,Analgésiques (antidouleurs),false
ALGIBREX,200 mg,Gelules,B/10,6.57,2.536,CELECOXIB,Anti-inflammatoires,false
ALGIBREX,200 mg,Gelules,B/20,12.88,5.072,CELECOXIB,Anti-inflammatoires,false
ALGIBREX,200 mg,Gelules,B/30,19.24,7.608,CELECOXIB,Anti-inflammatoires,false
ALGIDOL,1000 mg,Comprimes secables,B/8,2.34,1.986,PARACETAMOL,Analgésiques (antidouleurs),false
ALGIDOL,500 mg,Comprimes,B/16,1.575,0.68,PARACETAMOL,Analgésiques (antidouleurs),false
ALGIDOL EXTRA,500 mg/65 mg,Comprimes pellicules,B/16,2.21,1.782,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),false
ALLERGAMINE,"0,5 mg/5 ml",Sirop,FL/125 ml,4.414,1.063,DEXCHLORPHENIRAMINE,Antihistaminiques,false
ALLERGICA,10 mg,Comprimes,B/10,5.49,2.125,CETIRIZINE,Antihistaminiques,false
ALLERGICA,10 mg,Comprimes,B/20,7.63,4.25,CETIRIZINE,Antihistaminiques,false
ALLERGICA,10 mg,Comprimes,B/30,12.13,6.375,CETIRIZINE,Antihistaminiques,false
ALLERGODIL,"0,05%",Collyre,FL/6 ml,9.235,7.385,AZELASTINE,Antihistaminiques,false
ALLERGUS,"0,5 mg/ml",Sirop,FL/150 ml,7.885,5.738,DESLORATADINE,Antihistaminiques,false
ALLERGUS,"0,5 mg/ml",Solution buvable,FL/150 ml,6.895,5.738,DESLORATADINE,Antihistaminiques,false
ALLERGUS,5 mg,Comprimes pellicules,B/15,6.695,4.118,DESLORATADINE,Antihistaminiques,false
ALLERGUS,5 mg,Comprimes pellicules,B/30,11.75,8.236,DESLORATADINE,Antihistaminiques,false
ALLERGUS,5 mg,Comprimes pellicules,B/5,2.56,1.373,DESLORATADINE,Antihistaminiques,false
ALLERGY-STOP,5 mg,Comprimes pellicules,B/15,7.315,4.756,LEVOCETIRIZINE,Antihistaminiques,false
ALLERGY-STOP,5 mg,Comprimes pellicules,B/30,11.765,9.512,LEVOCETIRIZINE,Antihistaminiques,false
ALLERGYFAST,120 mg,Comprimes pellicules,B/15,7.655,6.503,FEXOFENADINE,Antihistaminiques,false
ALLERGYFAST,180 mg,Comprimes pellicules,B/15,8.0,6.796,FEXOFENADINE,Antihistaminiques,false
ALLERTEC,"0,10%",Sirop,FL/150 ml,9.335,5.355,CETIRIZINE,Antihistaminiques,false
ALLERTEC,"1,00%",Solution buvable,FL/15 ml,4.6,3.137,CETIRIZINE,Antihistaminiques,false
ALLERTEC,10 mg,Comprimes secables,B/15,7.635,3.188,CETIRIZINE,Antihistaminiques,false
ALLERTEC,10 mg,Comprimes secables,B/30,10.9,6.375,CETIRIZINE,Antihistaminiques,false
ALLERTEC,10 mg,Comprimes secables,B/7,3.625,1.488,CETIRIZINE,Antihistaminiques,false
ALLERTEC,10 mg/ml,Solution buvable,FL/30 ml,7.4,6.273,CETIRIZINE,Antihistaminiques,false
ALLERTEC,5 mg/5 ml,Sirop,FL/100 ml,4.28,3.57,CETIRIZINE,Antihistaminiques,false
ALLORIC,100 mg,Comprimes,B/30,6.82,4.845,ALLOPURINOL,Autres,true
ALOPIA,5 mg,Comprimes pellicules,B/28,36.99,14.796,FINASTERIDE,Hormones,true
ALPHA-GLUCOFF,50 mg,Comprimes,B/90,21.28,16.141,ACARBOSE,Antidiabétiques,true
ALPHACOL,"0,20%",Collyre,FL/5 ml,15.785,13.417,BRIMONIDINE,Autres,true
ALPHACOL FREE,"0,20%",Collyre,FL/5 ml,17.755,13.417,BRIMONIDINE,Autres,true
ALPHAGAN,"0,20%",Collyre,FL/5 ml,21.06,13.417,BRIMONIDINE,Autres,true
ALPRESS LP,"2,5 mg",Comprimes à liberation prolongee,B/30,12.472,10.582,PRAZOSINE,Antihypertenseurs,true
ALPRESS LP,5 mg,Comprimes à liberation prolongee,B/30,20.982,17.825,PRAZOSINE,Antihypertenseurs,true
ALTIAZEM,60 mg,Comprimes,B/30,5.575,4.717,DILTIAZEM,Antihypertenseurs,true
ALZOR,"2,00%",Collyre,FL/5 ml,19.39,16.482,DORZOLAMIDE,Autres,true
ALZOR 3M,"2,00%",Collyre,FL/5 ml,19.39,16.482,DORZOLAMIDE,Autres,true
AMANTEX,100 mg,Gelules,B/50,20.69,17.552,AMANTADINE,Antiviraux,true
AMAREL,1 mg,Comprimes,B/30,6.47,3.57,GLIMEPIRIDE,Antidiabétiques,true
AMAREL,2 mg,Comprimes,B/30,10.62,5.916,GLIMEPIRIDE,Antidiabétiques,true
AMAREL,3 mg,Comprimes,B/30,12.355,7.115,GLIMEPIRIDE,Antidiabétiques,true
AMAREL,4 mg,Comprimes,B/30,14.75,8.288,GLIMEPIRIDE,Antidiabétiques,true
AMAREL,6 mg,Comprimes,B/30,27.85,9.18,GLIMEPIRIDE,Antidiabétiques,true
AMIOCARD,200 mg,Comprimes secables,B/30,7.715,6.553,AMIODARONE,Autres,true
AMIPRIDE 200,200 mg,Comprimes secables,B/30,34.765,27.948,AMISULPRIDE,Antipsychotiques,true
AMLODEP,5 mg,Comprimes,B/30,12.89,7.14,AMLODIPINE,Antihypertenseurs,true
AMLODIS,10 mg,Comprimes,B/30,21.9,9.996,AMLODIPINE,Antihypertenseurs,true
AMLODIS,5 mg,Comprimes,B/30,15.785,7.14,AMLODIPINE,Antihypertenseurs,true
AMLOR,10 mg,Gelules,B/30,24.905,9.996,AMLODIPINE,Antihypertenseurs,true
AMLOR,5 mg,Comprimes,B/15,12.74,3.57,AMLODIPINE,Antihypertenseurs,true
AMLOR,5 mg,Comprimes,B/30,26.05,7.14,AMLODIPINE,Antihypertenseurs,true
AMLOR,5 mg,Comprimes,B/60,18.46,14.28,AMLODIPINE,Antihypertenseurs,true
AMLOR,5 mg,Comprimes,B/90,25.8,21.42,AMLODIPINE,Antihypertenseurs,true
AMLOTENS,10 mg,Gelules,B/30,12.865,9.996,AMLODIPINE,Antihypertenseurs,true
AMLOTENS,5 mg,Gelules,B/30,8.74,7.14,AMLODIPINE,Antihypertenseurs,true
AMLOVAR,5 mg/80 mg,Comprimes pellicules,B/30,44.19,28.356,AMLODIPINE + VALSARTAN,Antihypertenseurs,true
AMLOVAR,5 mg/80 mg,Comprimes pellicules,B/90,100.08,85.068,AMLODIPINE + VALSARTAN,Antihypertenseurs,true
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/12,18.375,11.914,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/12 sachets,15.005,11.914,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/21,24.595,20.849,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/24 sachets,28.035,23.827,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,1 g/200 mg,Pdre p.prep.injectable,B/1 FL,7.17,6.095,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/30 ml + Ser doseuse,6.155,3.723,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/30 ml + pipette doseuse,7.35,3.723,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + Ser doseuse,8.79,7.446,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + pipette doseuse,10.795,7.446,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"100 mg/12,5 mg/ml",Sirop,FL/30 ml,5.94,3.723,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"100 mg/12,5 mg/ml",Sirop,FL/60 ml,8.875,7.446,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,250 mg,Poudre pour suspension orale,FL/60 ml + Ser doseuse,9.548,8.109,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,500 mg/50 mg,Pdre p.prep.injectable,B/1 FL,3.7,3.145,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"500 mg/62,5 mg",Comprimes pellicules,B/12,9.815,6.222,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"500 mg/62,5 mg",Comprimes pellicules,B/16,10.0,8.296,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"500 mg/62,5 mg",Comprimes pellicules,B/24,14.75,12.444,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOCLAN,"500 mg/62,5 mg",Comprimes pellicules,B/48,29.3,24.888,AMOXICILLINE+ACIDE CLAVULANIQUE,Antibiotiques,true
AMOXAL,1 g,Comprimes dispersibles,B/14,10.86,5.652,AMOXICILLINE,Antibiotiques,true
AMPICIL,1 g,Pdre p.prep.injectable,B/1 FL + solv/5 ml,2.4,2.04,AMPICILLINE,Antibiotiques,true
AMPICIL IM IV,"0,5 g",Pdre p.prep.injectable,B/1 FL + solv/5 ml,1.41,1.199,AMPICILLINE,Antibiotiques,true
AMUCHINA 5%,"5,00%",Solution externe,FL/1000 ml,7.805,2.8,HYPOCHLORITE DE SODIUM,Autres,false
AMUCHINA 5%,"5,00%",Solution externe,FL/250 ml,3.375,0.7,HYPOCHLORITE DE SODIUM,Autres,false
AMUCHINA 5%,"5,00%",Solution externe,FL/500 ml,4.1,1.4,HYPOCHLORITE DE SODIUM,Autres,false
AMUSTIL,"0,50%",Creme dermique,T/30 g,4.02,1.608,IRGASAN,Autres,true
AMUSTIL,"0,50%",Creme dermique,T/70 g,10.635,3.752,IRGASAN,Autres,true
AMYTRIL 10,10 mg,Comprimes pellicules,B/100,5.47,4.59,AMITRIPTYLINE,Antidépresseurs,true
AMYTRIL 10,10 mg,Comprimes pellicules,B/40,3.2,1.836,AMITRIPTYLINE,Antidépresseurs,true
AMYTRIL 25,25 mg,Comprimes pellicules,B/100,6.755,5.695,AMITRIPTYLINE,Antidépresseurs,true
AMYTRIL 25,25 mg,Comprimes pellicules,B/40,4.285,2.278,AMITRIPTYLINE,Antidépresseurs,true
ANAFRANIL,10 mg,Comprimes enrobes,B/60,7.385,6.273,CLOMIPRAMINE,Antidépresseurs,true
ANAFRANIL,25 mg,Comprimes,B/50,6.702,5.695,CLOMIPRAMINE,Antidépresseurs,true
ANAFRANIL,25 mg,Comprimes enrobes,B/50,9.185,5.695,CLOMIPRAMINE,Antidépresseurs,true
ANAFRANIL,25 mg,Solution injectable,B/5/2 ml,4.228,3.591,CLOMIPRAMINE,Antidépresseurs,true
ANAFRANIL 75 MG,75 mg,Comprimes pellicules secables,B/20,15.355,13.039,CLOMIPRAMINE,Antidépresseurs,true
ANALGAN,500 mg,Comprimes,B/20,2.3,0.85,PARACETAMOL,Analgésiques (antidouleurs),false
ANALGAN CODEINE,300 mg/25 mg,Comprimes,B/16,2.745,2.326,CODEINE+PARACETAMOL,Analgésiques (antidouleurs),true
ANALGAN EXTRA,500 mg/65 mg,Comprimes secables,B/16,2.23,1.782,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),false
ANASPASM-ORO,80 mg,Comprimes orodispersibles,B/10,3.8,0.984,PHLOROGLUCINOL,Antispasmodiques,false
ANASPASM-ORO,80 mg,Comprimes orodispersibles,B/20,5.86,1.968,PHLOROGLUCINOL,Antispasmodiques,false
ANDROCUR,50 mg,Comprimes secables,B/20,29.095,29.08,CYPROTERONE,Hormones,true
ANDROTARDYL,250 mg,Solution injectable,B/1/1 ml,13.341,11.34,TESTOSTERONE,Hormones,true
ANGIOTEC,20 mg,Comprimes secables,B/30,17.525,11.526,ENALAPRIL,Antihypertenseurs,true
ANGIOTEC,5 mg,Comprimes secables,B/30,7.6,4.437,ENALAPRIL,Antihypertenseurs,true
ANGIOZIDE,"20 mg/12,5 mg",Comprimes secables,B/30,17.83,15.147,ENALAPRIL + HYDROCHLOROTHIAZIDE,Antihypertenseurs,true
ANGORAL,2 mg,Comprimes secables,B/30,4.805,3.392,MOLSIDOMINE,Antihypertenseurs,true
ANGORAL,4 mg,Comprimes secables,B/30,9.785,6.503,MOLSIDOMINE,Antihypertenseurs,true
ANSEMID,20 mg/2 ml,Solution injectable,B/2/2 ml,1.44,1.068,FUROSEMIDE,Diurétiques,true
ANSEMID,20 mg/2 ml,Solution injectable,B/5/2 ml,3.14,2.669,FUROSEMIDE,Diurétiques,true
ANSEMID,40 mg,Comprimes secables,B/30,2.93,2.474,FUROSEMIDE,Diurétiques,true
ANSEMID,40 mg,Comprimes secables,B/40,4.94,3.298,FUROSEMIDE,Diurétiques,true
ANSEMID,500 mg,Comprimes secables,B/36,35.24,29.927,FUROSEMIDE,Diurétiques,true
ANTADINE,100 mg,Comprimes pellicules,B/20,5.11,3.57,FLURBIPROFENE,Anti-inflammatoires,true
ANTAFEN,100 mg,Comprimes pellicules,B/15,6.575,2.678,FLURBIPROFENE,Anti-inflammatoires,true
ANTILIP,200 mg,Gelules,B/30,15.955,9.461,FENOFIBRATE,Autres,true
ANTIOMAL 250,250 mg,Comprimes pellicules,B/30,18.04,5.661,LEVETIRACETAM,Anticonvulsivants,true
ANTIOMAL 250,250 mg,Comprimes pellicules,B/60,35.84,11.322,LEVETIRACETAM,Anticonvulsivants,true
ANTIOMAL 500,500 mg,Comprimes pellicules,B/30,29.84,8.39,LEVETIRACETAM,Anticonvulsivants,true
ANTIOMAL 500,500 mg,Comprimes pellicules,B/60,43.74,16.779,LEVETIRACETAM,Anticonvulsivants,true
ANTISPASM,80 mg,Comprimes orodispersibles,B/10,4.99,0.984,PHLOROGLUCINOL,Antispasmodiques,false
ANTISPASM,80 mg,Comprimes orodispersibles,B/20,6.415,1.968,PHLOROGLUCINOL,Antispasmodiques,false
ANTISPASM,80 mg,Comprimes orodispersibles,B/30,8.515,2.952,PHLOROGLUCINOL,Antispasmodiques,false
ANTIVIR,200 mg,Comprimes,FL/30,30.81,26.188,ACICLOVIR,Antiviraux,true
ANTIVIR,200 mg/5 ml,Suspension buvable,FL/125 ml,17.605,14.875,ACICLOVIR,Antiviraux,true
ANTIVIR,"5,00%",Creme dermique,T/5 g,6.135,2.454,ACICLOVIR,Antiviraux,true
ANTIVIR,"8,00%",Suspension buvable,FL/125 ml,51.19,14.875,ACICLOVIR,Antiviraux,true
ANXETIN,20 mg,Gelules,B/30,24.675,20.961,FLUOXETINE,Antidépresseurs,true
ANXIOMYL,6 mg,Comprimes secables,T/30,6.89,1.344,BROMAZEPAM,Anxiolytiques (calmants),true
APIDRA SOLOSTAR,100 UI/ml,Solution injectable,B/5 stylo prér/3 ml,88.469,88.465,INSULINE ANALOGUE:GLULISINE,Antidiabétiques,true
APRANAX,500 mg,Suppositoires,B/12,6.34,5.386,NAPROXENE,Anti-inflammatoires,true
APRANAX 275,275 mg,Comprimes enrobes,B/30,9.175,5.508,NAPROXENE,Anti-inflammatoires,true
APRANAX 275,275 mg,Comprimes pellicules,B/10,4.07,1.836,NAPROXENE,Anti-inflammatoires,true
APRANAX 550,550 mg,Comprimes enrobes secables,B/16,11.25,6.161,NAPROXENE,Anti-inflammatoires,true
APRANAX 550,550 mg,Comprimes enrobes secables,B/8,6.39,3.08,NAPROXENE,Anti-inflammatoires,true
APROFORT,150 mg/5 mg,Comprimes pellicules,B/30,33.725,26.546,IRBESARTAN +AMLODIPINE,Antihypertenseurs,true
APROFORT,150 mg/5 mg,Comprimes pellicules,B/90,94.14,79.636,IRBESARTAN +AMLODIPINE,Antihypertenseurs,true
APROFORT,300 mg/10 mg,Comprimes pellicules,B/30,45.32,33.762,IRBESARTAN +AMLODIPINE,Antihypertenseurs,true
APROFORT,300 mg/10 mg,Comprimes pellicules,B/90,122.385,101.286,IRBESARTAN +AMLODIPINE,Antihypertenseurs,true
APROFORT,300 mg/5 mg,Comprimes pellicules,B/30,44.05,33.685,IRBESARTAN +AMLODIPINE,Antihypertenseurs,true
APROFORT,300 mg/5 mg,Comprimes pellicules,B/90,122.575,101.056,IRBESARTAN +AMLODIPINE,Antihypertenseurs,true
APROVASC,150 mg/5 mg,Comprimes pellicules,B/30,50.715,26.546,IRBESARTAN +AMLODIPINE,Antihypertenseurs,true
APROVASC,300 mg/10 mg,Comprimes pellicules,B/30,64.64,33.762,IRBESARTAN +AMLODIPINE,Antihypertenseurs,true
APROVASC,300 mg/5 mg,Comprimes pellicules,B/30,62.825,33.685,IRBESARTAN +AMLODIPINE,Antihypertenseurs,true
APROVEL,150 mg,Comprimes pellicules,B/30,38.63,13.796,IRBESARTAN,Antihypertenseurs,true
APROVEL,150 mg,Comprimes pellicules,B/90,107.77,41.386,IRBESARTAN,Antihypertenseurs,true
APROZAR,150 mg,Comprimes pellicules,B/30,25.005,13.796,IRBESARTAN,Antihypertenseurs,true
APROZAR,150 mg,Comprimes pellicules,B/90,64.765,41.386,IRBESARTAN,Antihypertenseurs,true
